id,name,abbreviation,foia_officer_title,foia_email,foia_address,foia_phone,foia_fax,response_days,portal_url
357,Agricultural Marketing Service,AMS,FOIA Officer,,"1400 Independence Avenue, SW
ATTN: AMS FOIA Office, Room 2055-S, Stop 0201
Washington
DC
20250-0201",(202) 720-2763,,20,https://efoia-pal.usda.gov/
326,Alcohol and Tobacco Tax and Trade Bureau,TTB,FOIA Officer,,"Quinton Mason, FOIA Contact, Disclosure Services, Box 12
1310 G Street, NW
Washington
DC
20005",202-882-9904,,20,
1,American Battle Monuments Commission,ABMC,FOIA Officer,foia@abmc.gov,"2300 Clarendon Boulevard, Suite 500
Attn: FOIA
Arlington
VA
22201",571-842-0020,,20,https://www.abmc.gov/foia/foia-reading-room
273,Ames Research Center,ARC,FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30
300 E Street, SW
Washington
DC
20546",,,20,https://pal.hq.nasa.gov/
358,Animal and Plant Health Inspection Service,APHIS,FOIA Officer,,"5601 Sunnyside Ave
AP-740
Beltsville
MD
20705",301-851-4102,,20,https://efoia-pal.usda.gov/
83,Antitrust Division,Antitrust,FOIA Officer,,"Laura Starling, Acting Chief, FOIA/PA Unit, Liberty Square Building
Suite 1000, 450 5th Street, NW
Washington
DC
20530-0001",202-514-2692,,20,https://www.justice.gov/atr/foia-library
544,Appeals,Appeals,FOIA Officer,,,,,20,
4,Appraisal Subcommittee,ASC,FOIA Officer,FOIA@asc.gov,"1325 G Street NW, Suite 500
Washington
DC
20005",202-289-2735,,20,https://www.asc.gov/resources/public-records
3,Armed Forces Retirement Home,AFRH,FOIA Officer,,"3700 North Capitol Street NW
P.O. Box 2875
Washington
DC
20011",202-541-7535,,20,
134,Armed Services Board of Contract Appeals,ASBCA,FOIA Officer,asbca.foia@mail.mil,"Skyline 6, Room 703
5109 Leesburg Pike
Falls Church
VA
22041-3208",703-681-8501,,20,http://www.asbca.mil/
274,Armstrong Flight Research Center,AFRC,FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30
300 E Street, SW
S.W. Washington
DC
20546",,,20,https://pal.hq.nasa.gov/
572,Assistant General Counsel for Administration,AGC/Admin,FOIA Officer,,,,,20,
575,Assistant Secretary – Indian Affairs,ASIA,FOIA Officer,as-ia_foia@bia.gov,"Justin Davis, FOIA Officer
MS-4660; 1849 C Street, NW
Washington
DC
20240",(202) 513-7707,,20,https://www.bia.gov/as-ia/foia/reading-room
603,Assistant Secretary – Indian Affairs,AS-IA,FOIA Officer,as-ia_foia@bia.gov,"Justin Davis, FOIA Officer
MS-4660; 1849 C Street, NW
Washington
DC
20240",(202) 513-7707,,20,https://foiaonline.gov/foiaonline/action/public/request
165,Atlanta District Office (Savannah Local Office),Atlanta,FOIA Officer,,"Marcia Haymer, Records Disclosure Coordinator
100 Alabama Street, SW
Atlanta
GA
30303",404-562-6909,,20,https://eeoc.arkcase.com/foia/portal/login
203,Atlanta Regional Office,ATRO,FOIA Officer,solmail@flra.gov,"Office of the Solicitor, Federal Labor Relations Authority
1400 K Street NW
Washington
DC
20424",771-444-5775,,20,https://www.flra.gov/elibrary
595,Barack Obama Presidential Library,LP-BHO,FOIA Officer,obama.library@nara.gov,"2500 W. Golf Road
Hoffman Estates
IL
60169-1114",,,20,
166,Birmingham District Office (Mobile Local Office; Jackson Area Office),Birmingham,FOIA Officer,,"Alicia Vickers, Records Disclosure Coordinator
1130 22nd Street, Ridge Park Place, Suite 2000
Birmingham
AL
35205",205-651-7024,,20,https://eeoc.arkcase.com/foia/portal/login
410,Board of Veterans Appeals,BVA,FOIA Officer,vacofoiase@va.gov,"Department of Veterans Affairs (01C1) VACO
810 Vermont Avenue, NW
Washington
DC
20420",202-382-2906,,20,https://www.va.gov/FOIA/Requests.asp
61,Bonneville Power Administration,BPA,FOIA Officer,,"Candice Palen, FOIA Officer, CGI-7
P.O. Box 3621
Portland
OR
97208-3621",503-230-5602,,20,http://www.bpa.gov/news/FOIA/Pages/RequestForm.aspx
456,Boston Regional Office,BORO,FOIA Officer,,,,,20,
84,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",ATF,FOIA Officer,,"Hirsh Kravitz, Acting Division Chief, Room 4.E-301
99 New York Avenue, NE
Washington
DC
20226",202-648-8740,,20,https://www.atf.gov/resource-center/foia-library
609,"Bureau of Consular Affairs, Passport Services",PPT,FOIA Officer,,"DOS Office of Records Management/Records Review and Release Division
44132 Mercure Circle, P.O. Box 1227
Sterling
VA
20166",202-485-6550,,20,https://foia.state.gov/FOIALIBRARY/SearchResults.aspx
35,Bureau of Economic Analysis,BEA,FOIA Officer,FOIA@bea.gov,"Communication Division Mail Stop BE-64
4600 Silver Hill Road, Room 8K120C
Washington
DC
20233",301-278-9798,,20,https://foia-pal.commerce.gov
327,Bureau of Engraving and Printing,BEP,FOIA Officer,,"14th & C Streets, SW Room 419A
Washington
DC
20228",202-874-2500,,20,https://www.bep.gov/footer/foia/bep-foia-reading-room
67,Bureau of Indian Affairs,BIA,FOIA Officer,foia@bia.gov,"Justin Davis, FOIA Officer
MS-4660; 1849 C Street, NW
Washington
DC
20240",(202) 513-7707,,20,https://www.bia.gov/as-ia/foia/reading-room
576,Bureau of Indian Education,BIE,FOIA Officer,foia@bie.edu,"Justin Davis, FOIA Officer
MS-4660; 1849 C Street, NW
Washington
DC
20240",(202) 513-7707,,20,
39,Bureau of Industry and Security,BIS,FOIA Officer,efoiarequest@bis.doc.gov,"1401 Constitution Avenue NW
Room 6622
Washington
DC
20230",202-482-7893,,20,https://foia-pal.commerce.gov
336,Bureau of International Labor Affairs,ILAB,FOIA Officer,gaskins.kia@dol.gov,"Kia Gaskins, FOIA Coordinator, Room S-5303
200 Constitution Avenue, NW
Washington
DC
20210",202-693-4903,,20,https://www.dol.gov/agencies/ilab
337,Bureau of Labor Statistics,BLS,FOIA Officer,blsfoiaservicecenter@bls.gov,"Suitland Federal Center Floor 7
4600 Silver Hill Road
Washington
DC
20212-0002",202-691-7628,,20,https://www.bls.gov/bls/blsfoia.htm
68,Bureau of Land Management,BLM,FOIA Officer,blm_wo_foia@blm.gov,"Ryan Witt, FOIA Officer, Attn: FOIA Office (WO-640)
1849 C Street, N.W.
Washington
DC
20240",970-256-4998,,20,https://www.blm.gov/about/foia/foia-reading-room
69,Bureau of Ocean Energy Management,BOEM,FOIA Officer,boemfoia@boem.gov,"Ashley Rychak, FOIA Officer
45600 Woodland Road
Sterling
VA
20166",703-787-1204,,20,https://www.boem.gov/about-boem/foia/foia-e-libraries
554,"Bureau of Ocean Energy Management, Regulation and Enforcement",BOEMRE,FOIA Officer,,,,,20,
542,Bureau of Public Debt,BPD,FOIA Officer,,,,,20,
70,Bureau of Reclamation,BOR,FOIA Officer,borfoia@usbr.gov,"P.O. Box 25007
Denver
CO
80225-0007",303-445-3282,,20,https://www.usbr.gov/foia/readroom.html
71,Bureau of Safety and Environmental Enforcement,BSEE,FOIA Officer,bseefoia@bsee.gov,"Michelle L. Piland, FOIA Officer, VAE-BSEE-FOIA
45600 Woodland Road
Sterling
VA
20166",715-791-4737,,20,https://www.bsee.gov/newsroom/library
591,Bureau of Trust Funds Administration,BTFA,FOIA Officer,,,,,20,
330,Bureau of the Fiscal Service,Fiscal Service,FOIA Officer,foia@fiscal.treasury.gov,"Attn: FOIA Disclosure Office/Room 508B
3201 Pennsy Drive, Building E.
Landover 
MD
20785",202-874-5602,,20,https://www.fiscal.treasury.gov/foia-readingroom.html
58,Carlsbad Field Office,CBFO,FOIA Officer,,"Myles Hall, FOIA Officer, P.O. Box 3090
4021 National Parks Highway
Carlsbad
NM
88221",575-234-7010,,20,http://www.wipp.energy.gov/library/foia/Freedom_of_Information_Act_Request_Form.pdf
36,Census Bureau,CEN,FOIA Officer,census.efoia@census.gov,"ATTN: FOIA/PA Office
4600 Silver Hill Road
Washington
DC
20233-3700",301-763-2127,,20,https://foia-pal.commerce.gov
226,Center for Medicare and Medicaid Services,CMS,FOIA Officer,FOIA_Request@cms.hhs.gov,"Joseph Tripline, FOIA Officer, Central Building Room C5-11-06 
7500 Security Boulevard
Baltimore
MD
21244",410-786-5353,,20,https://www.cms.gov/Regulations-and-Guidance/Legislation/FOIA/rdgroom.html
224,Centers for Disease Control and Prevention,CDC,FOIA Officer,FOIARequest@hhs.gov,"Hubert H. Humphrey Building, Room 729H
200 Independence Avenue, SW
Washington
DC
20201",202-690-7453,,20,https://foia.cdc.gov/app/Home.aspx
10,Central Intelligence Agency,CIA,FOIA Officer,,"Information and Privacy Coordinator, Central Intelligence Agency
Washington
DC
20505",703-613-1287,,20,https://www.cia.gov/readingroom/node/256459
418,"Charlotte District Office (Greensboro, Greenville, Norfolk, Richmond Local Offices; Raleigh Area Office)",Charlotte,FOIA Officer,,"Francine Michaelson, Records Disclosure Coordinator  
129 West Trade Street, Suite 400
Charlotte
NC
28202",980-296-1260,,20,https://eeoc.arkcase.com/foia/portal/login
167,Chicago District Office (Milwaukee and Minneapolis Area Offices),Chicago,FOIA Officer,,"Shernice Pierce, Records Disclosure Coordinator
JCK Federal Bldg., 230 S. Dearborn Street
Chicago
IL
60604",414-662-3707,,20,https://eeoc.arkcase.com/foia/portal/login
50,Chicago Office,CH,FOIA Officer,,"Michelle Galbert, FOIA Officer
9800 South Cass Avenue
Lemont
IL
60423",630-252-2041,,20,http://science.energy.gov/isc/foia/how-to-submit-a-foia-request/request-form/
204,Chicago Regional Office,CHRO,FOIA Officer,solmail@flra.gov,"Office of the Solicitor, Federal Labor Relations Authority
1400 K Street NW
Washington
DC
20424",771-444-5775,,20,https://www.flra.gov/elibrary
85,Civil Division,Civil,FOIA Officer,,"Civil Division, Office of Records and Information
1100 L Street, NW, Room 8400
Washington
DC
20035",202-514-2319,,20,http://www.justice.gov/civil/common/foia_request.html
610,Civil Rights Cold Case Records Review Board,CRCCRRB,FOIA Officer,info@coldcaserecords.gov,"Civil Rights Cold Case Records Review Board
1800 F St NW
Washington
DC
20405",771-221-0014,,20,
86,Civil Rights Division,Civil Rights,FOIA Officer,,"Kilian Kagle, Chief, 4CON, Room 6.153
950 Pennsylvania Avenue, NW
Washington
DC
20530",202-514-4209,,20,https://www.justice.gov/crt/foia-electronic-reading-room
7,Commission of Fine Arts,CFA,FOIA Officer,,"Chief FOIA Officer
401 F St., NW, Suite 312
Washington
DC
20001",202-504-2200,,20,
356,Commission on Civil Rights,USCCR,FOIA Officer,FOIA@usccr.gov,"David Ganz, General Counsel, Suite 1150
1331 Pennsylvania Ave, NW
Washington
DC
20425",202-839-7255,,20,
14,Committee for Purchase from People Who Are Blind or Severely Disabled,CPPBSD,FOIA Officer,,"Kimberly Zeich, Executive Director
355 E Street SW Suite 325
Washington
DC
20024",703-603-2100,,20,"http://www.abilityone.gov/laws,_regulations_and_policy/foia_reading_room.html"
9,Commodity Futures Trading Commission,CFTC,FOIA Officer,,"CFTC FOIA Office, Three Lafayette Centre
1155 21st Street, N.W.
Washington
DC
20581",202-418-5912,,20,https://www.cftc.gov/FOI/request/index.htm
87,Community Relations Service,CRS,FOIA Officer,MRUFOIA.Requests@usdoj.gov,"Kevin Krebs, Assistant Director, FOIA/Privacy Unit
175 N Street, NE, Suite 5.400
Washington
DC
20530-0001",202-252-6020,,20,https://www.justice.gov/crs/crs-electronic-reading-room
8,Consumer Financial Protection Bureau,CFPB,FOIA Officer,FOIA@cfpb.gov,"CFPB, Attn: Chief FOIA Officer
1700 G Street, NW
Washington
DC
20552",855-444-3642,,20,https://www.consumerfinance.gov/foia-requests/foia-electronic-reading-room/
334,Consumer Product Safety Commission,CPSC,FOIA Officer,CPSCFOIARequests@cpsc.gov,"U.S. Consumer Product Safety Commission
4330 East West Highway, Room 704
Bethesda
MD
20814-4408",1-800-638-2772,,20,https://www.cpsc.gov/Newsroom/FOIA
570,Consumer Protection Financial Board,CFPB,FOIA Officer,,,,,20,
398,Corporate Data Center Operations,CDCO,FOIA Officer,cdcofoia@va.gov,"Department of Veterans Affairs (0050O6)
Philadelphia Information Technology Center, 5000 Wissahickon Avenue
Philadelphia
PA
19144",215-842-2000 x 4460,,20,https://www.oprm.va.gov/foia/foia_library.aspx
12,Corporation for National and Community Service,CNCS,FOIA Officer,foia@americorps.gov,"Stephanie A. Soper, Freedom of Information Act Officer, Office of the General Counsel
250 E Street, SW
Washington
DC
20525",202-606-6747,,20,https://americorps.gov/about/agency-overview/foia-privacy-act
11,Council of the Inspectors General on Integrity and Efficiency,CIGIE,FOIA Officer,,"FOIA Contact, Suite 825
1717 H Street, NW
Washington
DC
20006",202-292-2600,,20,https://www.ignet.gov/content/foia-reading-room-1
6,Council on Environmental Quality,CEQ,FOIA Officer,,"Howard Sun, FOIA Public Liaison
730 Jackson Place, NW
Washington
DC
20503",,,20,https://www.whitehouse.gov/ceq/information-resources/
16,Court Services and Offender Supervision Agency,CSOSA,FOIA Officer,,"Jeanean West, Government Information Specialist, Office of the General Counsel
800 North Capitol Street, N.W., Suite 702
Washington
DC
20002",202-220-5748,,20,https://www.csosa.gov/foia-forms/
88,Criminal Division,Criminal,FOIA Officer,crm.foia@usdoj.gov,"Criminal Division, Department of Justice
950 Constitution Ave, NW
Washington
DC
20530-0001",202-616-0307,,20,https://www.justice.gov/criminal/foia-library
28,Cybersecurity and Information Security Agency,CISA,FOIA Officer,foia@hq.dhs.gov,"DHS Privacy Office, Mail Stop 0655
2707 Martin Luther King Jr. AVE SE
Washington
DC
20528",703-235-2211,,20,https://www.securerelease.us/create-request/agency/dd766a62-27ba-4cd1-ba1f-0fe7708077e2/component/039aa896-2c55-450e-be50-7d2e87f877fd
602,DHS Privacy Office,PRIVACY,FOIA Officer,foia@hq.dhs.gov,"DHS Privacy Office, Mail Stop 0655
2707 Martin Luther King Jr. AVE SE
Washington
DC
20528-0655",202-343-1743,,20,https://www.dhs.gov/dhs-foia-privacy-act-request-submission-form
168,Dallas District Office (San Antonio Field Office; El Paso Area Office),Dallas,FOIA Officer,,"Rasheedah McDonald & Nadetia Williams, Records Disclosure Coordinators
207 S. Houston Street, 3rd Floor
Dallas
TX
75202-4726",972-918-3617,,20,https://eeoc.arkcase.com/foia/portal/login
457,Dallas Regional Office,DARO,FOIA Officer,,,,,20,
135,Defense Commissary Agency,DeCA,FOIA Officer,deca.gregg-adams.hq.mbx.foia@mail.mil,"Freedom of Information Officer
1300 E Avenue
Fort Gregg-Adams
VA
23801-1800",804-734-8000 ext. 48982,,20,https://corp.commissaries.com/our-agency/FOIA/FOIA-Electronic-Reading-Room
136,Defense Contract Audit Agency,DCAA,FOIA Officer,dcaa.belvoir.hq.mbx.hq-foia@mail.mil,"FOIA Service Center, Suite 2135
8725 John J. Kingman Road
Fort Belvoir
VA
22060-6219",571-448-3153,,20,https://www.dcaa.mil/Freedom-of-Information-Act/FOIA-Reading-Room/
137,Defense Contract Management Agency,DCMA,FOIA Officer,dcma.gregg-adams.hq.mbx.dcma-foia@mail.mil,"DCMA-DCC, Attn:  FOIA Officer
3901 A Avenue
Fort Gregg-Adams
VA
23801",804-609-4533,,20,http://www.dcma.mil/HQ/FOIA1/howto/
142,Defense Counterintelligence and Security Agency,DCSA,FOIA Officer,dcsa.quantico.dcsa-hq.mbx.foia@mail.mil,"Office of FOIA and Privacy
27130 Telegraph Road
Quantico
VA
22314",(878) 274-1185,,20,https://www.dcsa.mil/contact/foia/foip/
138,Defense Finance and Accounting Service,DFAS,FOIA Officer,dfas.foia@mail.mil,"Indianapolis FOIA/PA Program Manager
8899 East 56th Street
Indianapolis
IN
46249-0150",317-212-4591,,20,https://www.dfas.mil/foia/foiareadingroom.html
151,Defense Health Agency,DHA,FOIA Officer,dha.foia@health.mil,"DHA FOIA Requester Service Center
7700 Arlington Blvd, Suite 5101
Falls Church
VA
22042-5101",703-681-3310,,20,https://health.mil/Military-Health-Topics/Privacy-and-Civil-Liberties/FOIA/FOIA-Request-Form
139,Defense Information Systems Agency,DISA,FOIA Officer,disa.meade.eiic.mbx.cio-foia@mail.mil,"Chief Information Office A3E23 
6910 Cooper Ave. 
Ft. Meade
MD
20755-0549",301-225-6104,,20,http://www.disa.mil/About/Legal-and-Regulatory/Freedom-of-Info-Act-Program
140,Defense Intelligence Agency,DIA,FOIA Officer,foia1@dodiis.mil,"ATTN: IMO-2 (FOIA)
7400 Pentagon
Washington
DC
20301-7400",301-394-6253,,20,http://www.dia.mil/FOIA/FOIA-Electronic-Reading-Room/
141,Defense Logistics Agency,DLA,FOIA Officer,,"Information Governance & Compliance/Attn: FOIA/Privacy
6090 Strathmore Road
Richmond
VA
23237",445-737-7072,,20,https://www.dla.mil/FOIA/Electronic-Reading-Room/
33,Defense Nuclear Facilities Safety Board,DNFSB,FOIA Officer,FOIA@dnfsb.gov,"FOIA Office
625 Indiana Avenue, NW, Suite 700
Washington
DC
20004",(202) 694-7000; (800) 788-4016,,20,https://www.dnfsb.gov/foia-reading-room
547,Defense Security Service,DSS,FOIA Officer,,,,,20,
144,Defense Technical Information Center,DTIC,FOIA Officer,dtic.belvoir.rm.mbx.foia@mail.mil,"DTIC-R  ATTN: FOIA Requester Service Center
8725 John J. Kingman Road
Fort Belvoir
VA
22060-6218",571-448-9702,,20,https://discover.dtic.mil/foia/
143,Defense Threat Reduction Agency,DTRA,FOIA Officer,dtrafoiaprivacy@mail.mil,"ATTN: IT-FOIA/PA
8725 John J. Kingman Road
Fort Belvoir
VA
22060-6201",703-767-1792,,20,https://www.dtra.mil/About/Mission/Freedom-of-Information-Act-and-Privacy-Act/FOIA-Reading-Room/
17,Denali Commission,DC,FOIA Officer,,"John Whittington, FOIA Officer
510 L Street Ste 410
Anchorage
AK
99501",907-271-1640,,20,
205,Denver Regional Office,DERO,FOIA Officer,solmail@flra.gov,"Office of the Solicitor, Federal Labor Relations Authority
1400 K Street, NW
Washington
DC
20424",771-444-5775,,20,https://www.flra.gov/elibrary
420,Department of Commerce (General),DOC-G,FOIA Officer,eFOIA@doc.gov,"Office of Privacy and Open Government
1401 Constitution Avenue NW, Room 61013
Washington
DC
20230",202-482-3257,,20,https://foia-pal.commerce.gov
592,Department of Commerce (General) - 2,DOCG,FOIA Officer,,,,,20,
145,Department of Defense Education Activity,DoDEA,FOIA Officer,foia@dodea.edu,"FOIA Requester Service Center
4800 Mark Center Drive
Alexandria
VA
22350-1400",571-372-1890,,20,https://www.dodea.edu/offices/executive-services/freedom-information-act-foia
163,Department of Education,DoED,FOIA Officer,EDFOIAManager@ed.gov,"FOIA Service Center, Office of the Deputy Secretary
400 Maryland Avenue, SW
Washington
DC
20202-4536",202-401-8365,,20,https://doed.secureocp.com/App/AssertionConsumerService.aspx
578,Department of Labor - Main,DOL - Main,FOIA Officer,,,,,20,
322,Department of State,DOS - Main,FOIA Officer,foiarequest@state.gov,"Information Access Programs Directorate
2201 C Street, NW
Washington
DC
20520",202-261-8484,,20,http://foia.state.gov/Request/Submit.aspx
130,Department of the Air Force,AF,FOIA Officer,DAF.FOIA@us.af.mil,"SAF/AMGI (FOIA)
1000 Air Force Pentagon
Washington
DC
20330-1000",(703) 614-8500,,20,https://efoia.milcloud.mil/palMain.aspx
131,Department of the Army,ARMY,FOIA Officer,usarmy.belvoir.hqda-esa.mbx.rmda-foia@army.mil,"U.S. Army Freedom of Information Act Office Army Records Management Directorate
9301 Chapek Rd. Bldg 1458
Fort Belvoir
VA
22060-5605",571-515-0306,,20,https://www.foia.army.mil/foiarequest/default.aspx
132,Department of the Navy,NAVY,FOIA Officer,usn.ncr.dns.mbx.don-foia-pa@us.navy.mil,"Chief of Naval Operations, DNS-36
2000 Navy Pentagon
Washington
DC
20350-2000",703-697-0031,,20,https://foiaonline.gov/foiaonline/action/public/home
359,Departmental Administration,DA,FOIA Officer,,"1400 Independence Avenue SW
Room 4039-A
Washington
DC
20250-0706",(202) 690-3318,,20,https://efoia-pal.usda.gov/
504,Departmental Administration / Office of the Secretary,DA/OSEC,FOIA Officer,,,,,20,
585,Departmental FOIA Office,DFO,FOIA Officer,,,,,20,
561,Departmental Management,DM,FOIA Officer,,"1400 Independence Avenue SW 
Room 4104-S 
Washington
DC
20250-0706",,,20,https://efoia-pal.usda.gov/
34,Departmental Offices,DOC,FOIA Officer,,"Bobbie Parsons, Deputy Chief FOIA Officer, Office of Privacy and Open Government, Room 61013
14th Street and Constitution Avenue, NW
Washington
DC
20230",202-482-3257,,20,https://foiaonline.gov/foiaonline/action/public/home
325,Departmental Offices,DO,FOIA Officer,,"Mark Bittner, Director, FOIA & Transparency
1500  Pennsylvania Ave., N.W.
Washington
DC
20220",202-622-0930,,20,https://home.treasury.gov/footer/freedom-of-information-act/submit-a-request
442,Division of Legal Counsel,DLC,FOIA Officer,,,,,20,
611,Donald J. Trump Presidential Library,PL-DJT,FOIA Officer,trump.library@nara.gov,"Donald J. Trump Presidential Library
8601 Adelphi Road, Room 1900
College Park
MD
20740",,,20,https://www.trumplibrary.gov/research/research-links
89,Drug Enforcement Administration,DEA,FOIA Officer,DEA.FOIA@usdoj.gov,"Angela C. Davis, Chief, Freedom of Information and Privacy Act Section
8701 Morrissette Drive
Springfield
VA
22152",571-776-2300,,20,https://www.dea.gov/foia/foia-library
540,Dryden Flight Research Center,DFRC,FOIA Officer,,,,,20,
38,Economic Development Administration,EDA,FOIA Officer,FOIA-EDA@eda.gov,"1401 Constitution Avenue NW
Room 72023
Washington
DC
20230",202-482-1315,,20,https://foia-pal.commerce.gov
338,Employee Benefits Security Administration,EBSA,FOIA Officer,,"Kathy Hoover, FOIA Officer, Public Disclosure Room, Suite N-1513
200 Constitution Avenue, NW
Washington
DC
20210",202-693-8673,,20,https://www.dol.gov/dol/foia/readroom.htm
339,Employment & Training Administration,ETA,FOIA Officer,,"Maria Sanders, FOIA Disclosure Officer
200 Constitution Avenue, NW
Washington
DC
20210-0002",202-693-3101,,20,
545,Employment Standards Administration,ESA,FOIA Officer,,,,,20,
90,Environment and Natural Resources Division,ENRD,FOIA Officer,,"Charles Smiroldo, FOIA Coordinator, Law and Policy Section
P.O. Box 7415, Ben Franklin Station
Washington
DC
20044-7415",202-514-0424,,20,https://www.justice.gov/enrd/selected-publications
60,Environmental Management Consolidated Business Center,EMCBC,FOIA Officer,,"DOE/EMCBC Office of Chief Counsel
550 Main Street, Room 7-335
Cincinnati
OH
45202",513-246-0579,,20,https://www.emcbc.doe.gov/foia/foia_form.php
180,Environmental Protection Agency (DO NOT USE),EPA OLD DO NOT USE,FOIA Officer,,"National FOIA Office, Office of General Counsel, US Environmental Protection Agency
1200 Pennsylvania Avenue, NW, Mail Code 2310A
Washington
DC
20460",202-566-1667,,20,https://foiapublicaccessportal.epa.gov/
91,Executive Office for Immigration Review,EOIR,FOIA Officer,,"Executive Office for Immigration Review, FOIA Service Center
5107 Leesburg Pike, Suite 2150
Falls Church
VA
22041",703-605-1297,,20,https://www.justice.gov/eoir/foia-library-0
92,Executive Office for Organized Crime Drug Enforcement Task Forces,OCDETF,FOIA Officer,JMDFOIA@usdoj.gov,"950 Pennsylvania Ave NW
Room 1111 RFK
Washington
DC
20530",202-514-0296,,20,https://www.justice.gov/oip/foia-library
93,Executive Office for United States Attorneys,EOUSA,FOIA Officer,,"Kevin Krebs, Assistant Director, FOIA/Privacy Unit
175 N Street, NE, Suite 5.400
Washington
DC
20530-0001",202-252-6020,,20,https://www.justice.gov/usao/resources/foia-library
94,Executive Office for United States Trustees,EOUST,FOIA Officer,,"Randi Meth, FOIA Counsel, Office of the General Counsel
441 G Street, NW, Suite 6150
Washington
DC
20530",202-307-1399,,20,https://www.justice.gov/ust/foia-privacy-act/foia-library
452,Executive Secretariat,EXEC SEC,FOIA Officer,,,,,20,
551,Export-Import Bank of the U.S.,EXIM Bank,FOIA Officer,,,,,20,
584,FOIA & Privacy Act Appeals Office,FPAO,FOIA Officer,,,,,20,
569,"FOIA Policy, Office of Executive Secretariat and Regulatory Affairs",OES,FOIA Officer,,,,,20,
599,FOIA Service Center,FSC,FOIA Officer,,"123 test
washington
DC
20001",,,20,
451,FOIA/Privacy Act Appeals Office,FOIA/PA Appeals,FOIA Officer,,,,,20,
192,Farm Credit Administration,FCA,FOIA Officer,FCA_FOIAOfficer@fca.gov,"1501 Farm Credit Drive
McLean
VA
22102-5090",703-883-4082,,20,https://www.fca.gov/home/FOIA_index.html
194,Farm Credit System Insurance Corporation,FCSIC,FOIA Officer,,"Ward Griffin, Chief FOIA Officer 
1501 Farm Credit Drive
McLean
VA
22102-5090",703-883-4082,,20,https://www.fcsic.gov/notices/index/foia-reading-room
360,Farm Service Agency,FSA,FOIA Officer,SM.FP.FOIA@usda.gov,"1400 Independence Avenue SW
South Building, Room 3203
Washington
DC
20250-9410",202-590-6168,,20,https://efoia-pal.usda.gov/
120,Federal Aviation Administration,FAA,FOIA Officer,,"National Freedom of Information Act Office, FAA, AFN-400
800 Independence Avenue, SW
Washington
DC
20591",202-267-7799,,20,http://www.faa.gov/foia/foia_request/
95,Federal Bureau of Investigation,FBI,FOIA Officer,,"Amie Napier, Section Chief, Record/Information Dissemination Section
200 Constitution Drive
Winchester
VA
22602",540-868-4500,,20,https://efoia.fbi.gov
96,Federal Bureau of Prisons,BOP,FOIA Officer,,"Kara Christenson, Room 924, HOLC Building
320 First Street, NW
Washington
DC
20534",202-514-6655,,20,https://www.bop.gov/foia/#tabs-5
193,Federal Communications Commission,FCC,FOIA Officer,,"Cathy Williams, Associate Managing Director, Performance and Program Management 
45 L Street NE; Room 3.303
Washington
DC
20554",,,20,https://fcc.arkcase.com/foia
